Gender,Weekday,Hour,Day,Reach,RetweetCount,Klout,Sentiment,text
Male,Monday,23,2,4037,1,52,3,Amazon Web Services is becoming a nice predictable profit engine http://uk.businessinsider.com/amazon-web-services-profit-vs-total-amazon-profit-2016-5?nr_email_referer=1&utm_term=Tech%20Chart%20Of%20The%20Day?rUS&IR=T&utm_content=buffer364fd&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer http://twitter.com/rhunold/status/727376950239596544/photo/1
Unknown,Friday,12,4,524418,21,72,0,Announcing four new VPN features in our Sao Paulo Region. https://aws.amazon.com/about-aws/whats-new/2016/03/new-vpn-features-in-sao-paulo/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=vpn_sao_paulo&sc_country=global&sc_geo=global&sc_category=vpn&adbsc=social_20160304_58977686 http://twitter.com/awscloud/status/705830695155822592/photo/1
Unknown,Tuesday,9,31,1748,1,46,0,Are you an @awscloud user? Use #Zadara + #AWS to enahnce your storage just one click away! https://aws.amazon.com/marketplace/seller-profile/ref=dtl_pcp_sold_by?ie=UTF8&id=a35eb439-3c19-44e2-aae5-1f7eaedafa3a&utm_campaign=AWS%20One%20Click&utm_content=28677081&utm_medium=social&utm_source=twitter http://twitter.com/ZadaraStorage/status/737662953080651776/photo/1
Unknown,Saturday,3,27,1179,1,0,0,AWS CloudFormation Adds Support for Amazon VPC NAT Gateway Amazon EC2 Container Registry and More http://aws.amazon.com/about-aws/whats-new/2016/02/aws-cloudformation-adds-support-for-amazon-vpc-nat-gateway-amazon-ec2-container-registry-and-more/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=cf_nat_ecr_emr_es&sc_country=global via @nuzzel
Unknown,Saturday,3,27,1179,1,0,0,AWS CloudFormation Adds Support for Amazon VPC NAT Gateway Amazon EC2 Container Registry and More http://aws.amazon.com/about-aws/whats-new/2016/02/aws-cloudformation-adds-support-for-amazon-vpc-nat-gateway-amazon-ec2-container-registry-and-more/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=cf_nat_ecr_emr_es&sc_country=global via @nuzzel
Unknown,Saturday,3,27,1179,1,0,0,AWS CloudFormation Adds Support for Amazon VPC NAT Gateway Amazon EC2 Container Registry and More http://aws.amazon.com/about-aws/whats-new/2016/02/aws-cloudformation-adds-support-for-amazon-vpc-nat-gateway-amazon-ec2-container-registry-and-more/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=cf_nat_ecr_emr_es&sc_country=global via @nuzzel
Unknown,Tuesday,17,15,591,1,41,0,AWS database migration service now available: http://aws.amazon.com/dms/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=dms_ga&sc_country=global&sc_geo=global&sc_category=dms&adbsc=social_20160315_59385266&adbid=709871357085921281&adbpl=tw&adbpr=1946428914&utm_content=buffer35f3e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Unknown,Monday,17,14,537629,74,72,3,Celebrating 10 years of #AWS: https://aws.amazon.com/10year/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=aws_infographic&sc_country=global&sc_geo=global&sc_category=awscloud10&adbsc=social_launches_20160314_59342666&adbid=709527370114334720&adbpl=tw&adbpr=66780587 #AWSCloud10 http://twitter.com/awscloud/status/709527370114334720/photo/1
Male,Thursday,8,12,413,1,45,0,La licitacin de espectro en la banda AWS permitirn que los usuarios de estos tres operadores cuenten con m... http://aristeguinoticias.com/1205/mexico/ift-autoriza-cambio-de-frecuencia-a-telcel-en-servicios-moviles/?utm_source=rss&utm_source=twitterfeed&utm_medium=rss&utm_medium=twitter&utm_campaign=ift-autoriza-cambio-de-frecuencia-a-telcel-en-servicios-moviles
Unknown,Thursday,19,14,576059,1,73,1,Learn from AWS Customers Zalora &amp; IDA Singapore as they share insights at the #AWSSummitSG!  https://aws.amazon.com/summits/singapore/?sc_channel=sm&sc_campaign=singapore_summit_2016&sc_publisher=tw_go&sc_content=customers&sc_country=global&sc_geo=global&adbsc=social_summits_2016_20160415_60455876 http://twitter.com/awscloud/status/720782526805975040/photo/1
Unknown,Thursday,11,24,547775,45,72,0,New on the AWS #BigData Blog: Import Zeppelin notes from GitHub or JSON on Amazon EMR http://blogs.aws.amazon.com/bigdata/post/Tx1Y66KB4QZTVJL/Import-Zeppelin-notes-from-GitHub-or-JSON-in-Zeppelin-0-5-6-on-Amazon-EMR?adbsc=social_blogs_20160324_59697816&adbid=713056786614333440&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/713056786614333440/photo/1
Unknown,Friday,14,26,514882,67,72,0,New on the AWS #BigData Blog: Optimize Spark-Streaming to process Amazon Kinesis Streams http://blogs.aws.amazon.com/bigdata/post/Tx2MQREB43K3BFK/Optimize-Spark-Streaming-to-Efficiently-Process-Amazon-Kinesis-Streams?adbsc=social_blogs_20160226_58728376&adbid=703335266270863360&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/703335266270863360/photo/1
Unknown,Wednesday,3,3,4527,2,52,0,RT @computerworlduk: 5 Amazon Web Services security tips businesses should know: http://www.computerworlduk.com/galleries/security/5-amazon-web-services-security-tips-businesses-should-know-3634104/?utm_content=buffer58610&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer #AWS #cloud http://twitter.com/computerworlduk/status/694805555513278464/photo/1
Unknown,Wednesday,12,13,455943,38,71,-0.333333343,The IAM Console now helps you avoid accidentally deleting resources in use. http://blogs.aws.amazon.com/security/post/Tx1MBZIQS8JVWV/The-IAM-Console-Now-Helps-Prevent-You-From-Accidentally-Deleting-In-Use-Resource?adbsc=social_launches_20160113_57227876&adbid=687351251978211328&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/687351251978211328/photo/1
Male,Sunday,11,14,864,2,45,0,"""#BigData: 35 Brilliant And Free Data Sources For 2016http://www.forbes.com/sites/bernardmarr/2016/02/12/big-data-35-brilliant-and-free-data-sources-for-2016/?utm_content=buffer95479&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer#57e6655e6796#analytics #cloud #salesforce #aws #bi http://twitter.com/ForceWarehouse/status/698936265048199170/photo/1"""
Male,Tuesday,6,23,2224,5,56,0,"""[#Packt] Learning #AWShttps://www.packtpub.com/virtualization-and-cloud/learning-aws?utm_source=ALL%20CONTACTS&utm_campaign=30d4579ac4-Deal_of_the_Day_Template_Test_Feb_23rd_2016&utm_medium=email&utm_term=0_c970747b22-30d4579ac4-163559425&ct=t(Deal_of_the_Day_Template_Test_Feb_23rd_2016)&mc_cid=30d4579ac4&mc_eid=d5fc62726e#B_DotNet #CelesteSoftware #ExpertDay"""
Unknown,Tuesday,16,5,14995,3,60,0,"""What's new in Talend Integration #Cloud for #AWS?3 Features You Should Know - http://www.talend.com/blog/2016/03/16/talend-integration-cloud-spring-%E2%80%9816-making-leaps-with-spark-amazon-redshift-and-emr-integration?utm_medium=socialpost&utm_source=twitter&utm_campaign=blog&utm_content=ticlaunchhttps://amp.twimg.com/v/7ab6492d-c982-44ce-b7d3-31fc4d180b35"""
Unknown,Wednesday,2,25,1281,2,44,0.033333331,Amazon ne sera bientt plus un pure player: Jeff Bezos le Pdg dAmazon a annonc  ses actionnaires il y a ... http://www.wk-transport-logistique.fr/actualites/actualites_detail.php?action=detail&val=93825&label_donnee=Amazon%20ne%20sera%20bient%C3%B4t%20plus%20un%20pure%20player&PAGE=actualites-detail-logistiques-magazine&utm_source=LogistiquesMag&utm_medium=twitter
Unknown,Monday,11,18,581334,10,73,0,Come meet with us at the NAB Show in Las Vegas booth SL9016 for presentations each day! https://aws.amazon.com/digital-media/aws-nab-2016/?sc_channel=sm&sc_campaign=nab&sc_publisher=tw_go&sc_country=global&sc_geo=global&adbsc=AWS_Events_20160418_60574886&adbid=722110744188157952&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/722110744188157952/photo/1
Unknown,Friday,10,26,782,2,48,0,Continuous Delivery and Effective Feature Flagging with LaunchDarkly  AWS Startup Collecti https://medium.com/aws-activate-startup-blog/continuous-delivery-and-effective-feature-flagging-with-launchdarkly-b7c6d27b7b3f?utm_content=buffer81e9f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer http://twitter.com/exutweets/status/703265789831487488/photo/1
Unknown,Tuesday,14,17,304,1,51,0,DIY Arduino Weather Station (AWS) - Arduino boards (mine ... - http://techforgeeks.xyz/diy-arduino-weather-station-aws-arduino-boards-mine-arduino-uno-rev3-dht11-humidity-and-temperature-sensor-cost-5-00-usd-bmp185-barometer-sensor-cost-6-00-usd-rain-drop-sensor-module-c/ #tech #business #technews http://twitter.com/TechForGeeks1/status/732676853090123776/photo/1
Unknown,Wednesday,15,8,651699,48,78,0,Introducing the AWS Migration Competency! https://aws.amazon.com/blogs/aws/new-aws-competency-aws-migration/?sc_channel=sm&sc_campaign=launch_marketing_f8d0d7a1&sc_publisher=tw_go&sc_content=aws_competency_migration&sc_country=global&sc_geo=global&adbsc=social_launches_20160608_62537176 #CloudComputing http://twitter.com/awscloud/status/740654155501424640/photo/1
Unknown,Friday,5,27,93903,1,70,0,Salesforce Choice Of Amazon Web Services Smacks Microsoft Alphabet http://www.investors.com/news/technology/salesforce-choice-of-amazon-web-services-smacks-microsoft-alphabet/?utm_campaign=trueAnthem:%20Trending%20Content&utm_content=574830e604d301518b457786&utm_medium=trueAnthem&utm_source=twitter http://twitter.com/IBDinvestors/status/736158786633760768/photo/1
Unknown,Friday,7,3,165,1,46,0,Salesforce's data centre team 'fought' AWS cloud outsourcing: People thought Dropbox dumping AWS for Google C... https://www.google.com/url?rct=j&sa=t&url=http://www.theregister.co.uk/2016/06/03/salesforce_aws_microsoft_platform_wars/&ct=ga&cd=CAIyGjNhNjYxYTQyZWZjNWIxNWM6Y29tOmVuOlVT&usg=AFQjCNHW85oSLEdtGbT5j0gIz9ESWG7rbA&utm_source=twitterfeed&utm_medium=twitter
Unknown,Friday,13,19,505063,12,71,1,"""Clinicians access genomics data faster using the @Intermountain &amp; @Syapse solution on #AWS: http://aws.amazon.com/solutions/case-studies/intermountain-healthcare/?sc_campaign=case_study&sc_category=Intermountain-Healthcare&sc_channel=SM&sc_content=logs&sc_detail=std&sc_medium=aws&sc_publisher=TW_GOhttps://amp.twimg.com/v/3cc23bcc-8cd9-44ab-be29-89d21a593d10"""
Unknown,Thursday,10,2,2034,1,46,0,"""Here's how you can dramatically reduce public cloud cost in #AWS #Azure &amp; #SoftLayerhttp://www.cirba.com/news/press_releases/2016/Cirba-Study-of-AWS-Azure-Softlayer-shows-Key-Steps-to-Dramatically-Reducing-Costs.htm?utm_content=bufferfd0e5&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer http://twitter.com/Cirba/status/738401407154434053/photo/1"""
Unisex,Monday,22,14,53771,19,79,0,#AWS at 10: A look at how Amazon revamped the enterprise #cloud computing pecking order http://www.zdnet.stfi.re/article/aws-at-10-a-look-at-how-amazon-revamped-the-enterprise-cloud-computing-pecking-order/?sf=brldzx&utm_content=bufferaf9c1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer http://twitter.com/evankirstel/status/709601290997907456/photo/1
Female,Monday,0,30,1817,1,48,0.400000006,#bigdata InformatiqueNews Hebdo: HPE Dossier Big Data CRM Gartner AWS  Paris et Java https://www.google.com/url?rct=j&sa=t&url=http://www.informatiquenews.fr/informatiquenews-hebdo-hpe-dossier-big-data-crm-gartner-aws-a-paris-java-47252&ct=ga&cd=CAIyGTk5YWFjYjJkNzIyNDM5Njk6ZnI6ZnI6RlI&usg=AFQjCNFrR79yhqqNJM0WhBQuAfdFvNw0Ig&utm_source=twitterfeed&utm_medium=twitter
Female,Monday,0,30,1982,1,51,0.400000006,#bigdata InformatiqueNews Hebdo: HPE Dossier Big Data CRM Gartner AWS  Paris et Java https://www.google.com/url?rct=j&sa=t&url=http://www.informatiquenews.fr/informatiquenews-hebdo-hpe-dossier-big-data-crm-gartner-aws-a-paris-java-47252&ct=ga&cd=CAIyGTk5YWFjYjJkNzIyNDM5Njk6ZnI6ZnI6RlI&usg=AFQjCNFrR79yhqqNJM0WhBQuAfdFvNw0Ig&utm_source=twitterfeed&utm_medium=twitter
Female,Monday,0,30,2151,1,49,0.400000006,#bigdata InformatiqueNews Hebdo: HPE Dossier Big Data CRM Gartner AWS  Paris et Java https://www.google.com/url?rct=j&sa=t&url=http://www.informatiquenews.fr/informatiquenews-hebdo-hpe-dossier-big-data-crm-gartner-aws-a-paris-java-47252&ct=ga&cd=CAIyGTk5YWFjYjJkNzIyNDM5Njk6ZnI6ZnI6RlI&usg=AFQjCNFrR79yhqqNJM0WhBQuAfdFvNw0Ig&utm_source=twitterfeed&utm_medium=twitter
Female,Monday,0,30,1889,1,48,0.400000006,#bigdata InformatiqueNews Hebdo: HPE Dossier Big Data CRM Gartner AWS  Paris et Java https://www.google.com/url?rct=j&sa=t&url=http://www.informatiquenews.fr/informatiquenews-hebdo-hpe-dossier-big-data-crm-gartner-aws-a-paris-java-47252&ct=ga&cd=CAIyGTk5YWFjYjJkNzIyNDM5Njk6ZnI6ZnI6RlI&usg=AFQjCNFrR79yhqqNJM0WhBQuAfdFvNw0Ig&utm_source=twitterfeed&utm_medium=twitter
